variable,estimate,p_value,adj_r2,rmse,district,theme
total_hhd_registered_under_pmjay,0.02597976857338042,1.8142462367182569e-9,0.07336757162281204,10.541014391330087,bhandara,Others
total_no_of_beneficiaries_receiv,0.07633524905412381,0.07177269862852116,0.00485095666267088,10.923774435738935,bhandara,Others
total_no_of_farmers_received_ben,0.001836442785252945,0.6207263473304732,-0.0016329469215230485,10.959303637993186,bhandara,Others
total_shg,0.06980202991876468,6.842325391318864e-7,0.04997778221697868,10.673221932110625,bhandara,Others
total_shg_accessed_bank_loans,0.2635714703216296,1.2037379031200671e-4,0.02943655877709228,10.78799218459719,bhandara,Others
total_hhd_having_pmsbhgy_benefit,0.007183268327221789,0.32514827881154995,-6.43880258035523e-5,10.950719131785192,bhandara,Others
total_hhd_got_benefit_under_stat,0.03294299544784097,0.005215554386907471,0.014637822091473796,10.86992638958562,bhandara,Others
gp_total_no_of_eligible_benefici,0.019439287145363898,1.3420479849590766e-8,0.0655156408579648,10.585580454919075,bhandara,Others
total_no_of_farmers_subscribed_a,0.01327827501854529,0.025258374487291756,0.0086476325177538,10.902916422398826,bhandara,Others
availability_of_high_school,3.514259167568284,3.4559895205553723e-7,0.027356294071104514,8.940566484501678,bid,Education
availability_of_middle_school,4.3271510460943,1.1065174220788106e-12,0.05363985358032053,8.818939597781348,bid,Education
no_of_children_not_attending_sch,-0.002347266482208194,0.6491996801365476,-8.798763193575976e-4,9.069411878021105,bid,Education
total_minority_children_getting_,0.03002739269433742,1.5894428437314556e-4,0.014621941722682719,8.998903411736599,bid,Education
availability_of_mid_day_meal_sch,5.0050544064151214,8.492696224727392e-6,0.02068773083027098,8.971162935046179,bid,Education
